# Wordlist

# DATA
ID	CONCEPT	DATECREATED	DATEMODIFIED	EN_GLOSS	FORM_IN_SOURCE	GUID	DOCULECT	LANGUAGE_IN_SOURCE	OID	ORDER	COUNTERPART	POS	PT_GLOSS	REFERENCE	SENSE_ID
#
264	Arara of the river Preto	2014-04-07T17:29:32Z	2014-04-20T20:13:49Z	Arara of the river Preto	urotetín	f053d364-dc47-4609-a190-d1699711f838	trz	trz	urotetin_f053d364-dc47-4609-a190-d1699711f838		urotetin		Arára do rio Preto		c03e7327-9e8e-421f-a33d-fd077b061e4f
#
68	Ariquém	2014-04-07T18:56:35Z	2014-04-20T20:12:03Z	Ariquém	ariké̩m	3add09a1-f0e1-419d-a60e-0f57ef3601ee	trz	trz	arike&apos;m_3add09a1-f0e1-419d-a60e-0f57ef3601ee		arike'm		Arikem		71557b86-4af5-4402-b321-2b774cb59f36
#
161	Branco river	2014-04-06T20:09:37Z	2014-04-20T19:39:22Z	Branco river	tu̥ariku̥p	8d8e5a97-a6ec-4235-8268-19e50815371a	trz	trz	tyarikyp_8d8e5a97-a6ec-4235-8268-19e50815371a		tyarikyp		rio Branco		fe198e0f-18a1-4c32-ba3b-df107ee02ecb
#
241	I	2014-04-28T14:07:09Z	2014-04-28T14:07:27Z	I	wazá	de309c91-027b-45bd-a49b-eaca5d9ba253	trz	en	waza_de309c91-027b-45bd-a49b-eaca5d9ba253		waza		eu		79d73491-bb2b-4b8b-91bb-8e19cfb2688a
#
180	Jaru	2014-04-07T17:28:30Z	2014-04-20T15:03:44Z	Jaru	yarú	a12f6bac-0989-40a1-8161-9c40554db4ff	trz	trz	jaru_a12f6bac-0989-40a1-8161-9c40554db4ff		jaru		Jaru		5fdc0a1a-5e85-4cf9-8cbe-5f224d3b4f56
#
162	Machado river	2014-04-06T20:10:37Z	2014-04-20T14:56:15Z	Machado river	apįsá	8dc7a93f-848c-4f23-978a-5ac2db3d1d16	trz	trz	api&apos;sa_8dc7a93f-848c-4f23-978a-5ac2db3d1d16		api'sa		rio Machado		aaa60ead-d1d2-44c2-a45f-2834f8ec5bcc
#
147	Madeira river	2014-04-06T20:07:04Z	2014-04-20T14:56:05Z	Madeira river	kayarí	812aefdb-f51b-4655-b85a-df3fd68a7401	trz	trz	kajari_812aefdb-f51b-4655-b85a-df3fd68a7401		kajari		rio Madeira		8389fc8d-ccaf-4ef4-8324-f40f4af6593d
#
253	Maicy river	2014-04-06T20:08:14Z	2014-04-20T14:55:53Z	Maicy river	turupiwaní	e5e15214-ddc3-4da5-957a-c1777337b0aa	trz	trz	turupiwani_e5e15214-ddc3-4da5-957a-c1777337b0aa		turupiwani		rio Maicy		aceab15b-a689-43d3-962b-e87dc87c7d0b
#
70	Maloca	2014-04-06T21:08:33Z	2014-04-20T14:55:32Z	Maloca	mawį	3e16ef10-35d1-42e5-bac7-403ebedbd082	trz	trz	mawi&apos;_3e16ef10-35d1-42e5-bac7-403ebedbd082		mawi'		Maloca		f7aff95c-bc2e-43e9-828d-6ba0a266aa98
#
