ID	CONCEPT	DATECREATED	DATEMODIFIED	EN_GLOSS	FORM_IN_SOURCE	GUID	LANGUAGE	LANGUAGE_IN_SOURCE	OID	ORDER	ORTHOGRAPHY	POS	PT_GLOSS	REFERENCE	SENSE_ID
1	red	2014-04-09T18:49:54Z	2014-04-19T20:31:32Z	red	katǘm	0489aee9-d3a8-4fe9-9c30-c438783ce921	ijc	ijc	katüm_0489aee9-d3a8-4fe9-9c30-c438783ce921		katüm		vermelho		c5cebc0a-9abb-45e7-9a20-57f2aca8247a
2	chest	2014-04-09T16:34:26Z	2014-04-21T13:13:32Z	chest	kărati	0d644d18-b7d3-4425-8a50-6666dbba58ae	ijc	ijc	karati_0d644d18-b7d3-4425-8a50-6666dbba58ae		karati		peito		0e580ec9-2e57-4f32-9618-0ef468402d9b
3	howler monkey	2014-04-09T18:10:10Z	2014-04-19T02:15:24Z	howler monkey	aurë́m	11194419-3c53-44e7-82b7-ef1916b0a44c	ijc	ijc	aurem_11194419-3c53-44e7-82b7-ef1916b0a44c		aurem		guariba		ea3a213d-6fea-4683-83b9-4bc7f2f768af
4	drawstring waist	2014-04-09T17:24:13Z	2014-04-19T20:04:04Z	drawstring waist	mukón	13a50206-5400-4297-bf92-7d38d2115ca4	ijc	ijc	mukon_13a50206-5400-4297-bf92-7d38d2115ca4		mukon		cordão da cintura		cc1f2dff-2761-456b-8acd-884a733d950d
5	armadillo	2014-04-09T18:11:59Z	2014-04-19T20:25:17Z	armadillo	u̥krí	1437b5bb-3161-4649-a516-b285fe9bc5aa	ijc	ijc	ykri_1437b5bb-3161-4649-a516-b285fe9bc5aa		ykri		tatú		049a822b-fabc-4c6e-a2b4-6b391c545457
6	tortoise	2014-04-09T17:00:20Z	2014-12-07T18:43:06Z	tortoise	toá	17430aa5-d5c7-4542-ad6c-fa4ea7649cfe	ijc	ijc	toa1_17430aa5-d5c7-4542-ad6c-fa4ea7649cfe	1	toa		jaboty		3b46d12c-7952-44db-ae84-6d601c5486b7" order="1
7	my hand	2014-04-09T19:02:27Z	2014-04-21T13:14:52Z	my hand	tipra	1b86c296-d4ef-4216-9497-b10535d0cda0	ijc	ijc	*tipra_1b86c296-d4ef-4216-9497-b10535d0cda0		*tipra		minha mão		c3e43b9e-4612-4e60-b4f8-efb3a6e016e1
8	hammock	2014-04-09T17:18:42Z	2014-04-19T02:25:34Z	hammock	siá	1bce7e1a-6b8d-4149-9ffe-9c917c7c5062	ijc	ijc	sia_1bce7e1a-6b8d-4149-9ffe-9c917c7c5062		sia		rede		56ce01da-8dbb-4982-9a0d-c41fd5d4624a
9	my Uncle	2014-04-09T17:31:20Z	2014-04-19T02:04:24Z	my Uncle	ah̠ṓ	1ede7cd9-e031-4a90-be04-2d02a15d25bc	ijc	ijc	aho_1ede7cd9-e031-4a90-be04-2d02a15d25bc		aho		meu tio		e7b92ece-76a6-4e6c-a82a-11e17facc56d
10	big	2014-04-13T15:37:07Z	2014-04-19T20:22:16Z	big	ĕvekem	2058685d-d9d2-48f6-9d5f-45998d196fa7	ijc	ijc	evekem_2058685d-d9d2-48f6-9d5f-45998d196fa7		evekem		grande		a707a208-7d6b-4b00-9109-29c9c8ca2f3b
11	snake	2014-04-09T18:14:37Z	2014-04-19T20:29:25Z	snake	krakáu	264b0eb4-6fb1-4cce-acc3-e1759a933197	ijc	ijc	krakaw_264b0eb4-6fb1-4cce-acc3-e1759a933197		krakaw		cobra		2575aca9-0827-488c-aa29-25d4851ac97d
12	hand	2014-04-09T16:36:25Z	2014-04-21T13:14:56Z	hand	tipra	26faeae8-0341-4f98-baaf-edfa41754732	ijc	ijc	tipra_26faeae8-0341-4f98-baaf-edfa41754732		tipra		mão		965abfb5-6371-42ed-87fb-007583839479
13	star	2014-04-09T16:45:31Z	2014-04-19T20:28:42Z	star	upiṓ	299eab6e-479d-49e0-9a15-cb94bf2a4f5e	ijc	ijc	upio_299eab6e-479d-49e0-9a15-cb94bf2a4f5e		upio		estrela		b7cc53c9-ecf7-4899-9f6d-c8ad800d011b
14	Jarú	2014-04-09T17:33:48Z	2014-04-19T02:12:18Z	Jarú	yarú	2c609bf4-d741-4ff5-b63a-1155f40479e2	ijc	ijc	jaru_2c609bf4-d741-4ff5-b63a-1155f40479e2		jaru		Jarú		b1468d1c-48dd-444e-b114-431091cdee5a
15	wind	2014-04-09T17:04:27Z	2014-04-18T23:27:11Z	wind	kaku̥	2de2dc7f-f234-4d8e-a63d-6f6a16e0d67a	ijc	ijc	kaky_2de2dc7f-f234-4d8e-a63d-6f6a16e0d67a		kaky		vento		60038b0d-9653-4362-9051-b6e819f6f6ac
16	land	2014-04-09T17:16:13Z	2014-04-19T02:10:45Z	land	manakã́	32c1186e-b814-4763-91da-141834b529df	ijc	ijc	manakan_32c1186e-b814-4763-91da-141834b529df		manakan		terra		73bbd63d-7acb-4930-9179-91bc30b6a9c3
17	rain	2014-04-09T17:07:14Z	2014-04-19T20:31:44Z	rain	su̥í	353149df-658a-4d72-9947-8df8695566d1	ijc	ijc	syi_353149df-658a-4d72-9947-8df8695566d1		syi		chuva		1528fed4-58d2-43d0-a573-4386008d5c35
18	brain	2014-04-09T16:41:27Z	2014-04-21T13:13:20Z	brain	müripi	37da98d9-3a82-49a7-a656-a7fc596da850	ijc	ijc	müripi_37da98d9-3a82-49a7-a656-a7fc596da850		müripi		cerebro		a26537e4-1d41-4d84-b057-06cb32451300
19	father	2014-04-09T17:37:10Z	2014-04-19T20:01:07Z	father	ëtë́	39e34c46-9b67-41d1-8794-89fdc440e328	ijc	ijc	ete_39e34c46-9b67-41d1-8794-89fdc440e328		ete		pae		58306368-69a3-4f54-b893-b4393f587e6d
20	my son	2014-04-09T17:38:13Z	2014-04-19T02:04:36Z	my son	kaviyí	3f60835a-a3ab-4724-a92d-4a906d44e22d	ijc	ijc	kaviji_3f60835a-a3ab-4724-a92d-4a906d44e22d		kaviji		meu filho		cfd76d51-6ac3-4070-9321-7a842b4ad424
21	tapir	2014-04-09T18:11:17Z	2014-04-18T23:45:13Z	tapir	imín	3f8addd2-24ac-441a-b056-077eda321bb5	ijc	ijc	imin_3f8addd2-24ac-441a-b056-077eda321bb5		imin		anta		ae5d4f3f-b914-4a09-9007-26f26e98c8dd
22	ax	2014-04-09T17:20:50Z	2014-04-19T20:24:03Z	ax	yatiikíd	408c0d43-1ff9-440d-acc8-3cc3108924e0	ijc	ijc	jatiikit_408c0d43-1ff9-440d-acc8-3cc3108924e0		jatiikit		machado		1d0d00d1-3a91-4dea-aabc-6cba257d3654
23	sky	2014-04-09T16:42:34Z	2014-04-19T20:30:25Z	sky	awín	41104c3e-3f49-44d8-a568-8d6a080de0e5	ijc	ijc	awin_41104c3e-3f49-44d8-a568-8d6a080de0e5		awin		céu		63c239ab-96d0-4631-be65-315f27d3fc1d
24	potato	2014-04-09T18:21:59Z	2014-04-19T01:59:31Z	potato	matán	473bb185-ee2b-45b5-a4d3-4f6ffd7a3049	ijc	ijc	matan_473bb185-ee2b-45b5-a4d3-4f6ffd7a3049		matan		batata		764fc841-e09e-42eb-b670-31f3accc3b6d
25	indian	2014-04-09T17:35:06Z	2014-04-19T02:13:11Z	indian	wanyám	4961918e-673f-4938-b871-b1dae136e97b	ijc	ijc	wanjam_4961918e-673f-4938-b871-b1dae136e97b		wanjam		índio		77e86352-83b1-4719-93e1-6406ab6cff10
26	hit	2014-04-13T15:11:33Z	2014-04-19T02:21:39Z	hit	tu	4c8fde5c-f1d2-4e3b-a473-f0fc9c44c05c	ijc	ijc	tu_4c8fde5c-f1d2-4e3b-a473-f0fc9c44c05c		tu		bater		fed1bdbb-ec41-407f-9596-b92af2ec74a8
27	man	2014-04-09T17:27:37Z	2014-04-19T02:09:19Z	man	kitramá	4fe640ac-b0d3-4f86-917f-ae69ab9fd020	ijc	ijc	kitrama_4fe640ac-b0d3-4f86-917f-ae69ab9fd020		kitrama		homem		1b1e33f9-f6fb-489c-a13a-5acaeb693cb9
28	yam	2014-04-09T18:18:47Z	2014-04-21T13:48:40Z	yam	mara	52f3aff8-5826-498b-8ee6-d69e2e8852df	ijc	ijc	mara_52f3aff8-5826-498b-8ee6-d69e2e8852df		mara		cará		e0d573ff-d06d-415d-8c62-a8feb3ab0711
29	wife	2014-04-21T14:21:29Z	2014-12-07T18:45:45Z	wife		57ddec7f-a61e-43bb-bc1e-64875d659017	ijc		ine_57ddec7f-a61e-43bb-bc1e-64875d659017		ine		esposa		f3abe7cf-2059-4154-bda8-db086aa6cfac
30	sleep	2014-04-09T18:51:05Z	2014-04-19T20:30:11Z	sleep	tak	58588bd1-a5ba-44b4-bff9-5755de1ce5e2	ijc	ijc	tak_58588bd1-a5ba-44b4-bff9-5755de1ce5e2		tak		durma		d3929b07-b311-428b-b104-683b7ab75340
31	sun	2014-04-09T16:43:36Z	2014-04-18T23:47:39Z	sun	kumẽ́n	599e60ad-b4fb-4daa-bc3d-1db815f7221c	ijc	ijc	kumen_599e60ad-b4fb-4daa-bc3d-1db815f7221c		kumen		sol		510a3ced-f349-4b7f-97ea-605aa4c191fa
32	go	2014-04-13T15:07:08Z	2014-04-19T19:51:45Z	go	mao	5afa8bd4-a50b-4c57-827c-84ec5ef2f96e	ijc	ijc	maw_5afa8bd4-a50b-4c57-827c-84ec5ef2f96e		maw		ir		646bb9cd-5530-4466-9816-d5efae433536
33	tucumã	2014-04-09T18:19:55Z	2014-04-18T23:28:10Z	tucumã	ŭruuwáu	5eb1ee19-72dd-48a8-9977-fbf55a037437	ijc	ijc	uruuwaw_5eb1ee19-72dd-48a8-9977-fbf55a037437		uruuwaw		tucumã		4d7f55d2-04de-49d9-8efb-529e02d1a865
34	stone	2014-04-09T17:03:39Z	2014-04-18T23:48:48Z	stone	pakün	5f4e9c55-411d-4e0e-a6ba-6a6e33eb98de	ijc	ijc	pakün_5f4e9c55-411d-4e0e-a6ba-6a6e33eb98de		pakün		pedra		de42eb23-831b-4798-9993-59ae4d3edcf5
